tweet,favorites,retweets,user,date,hour
".@jakubmracek na #dataconf14 výborný — pokud je to vážně jeho poslední přednáška o #opendata, doufám, že se už chystá aspoň nějaký revival.",6,0,endlife_cs,22/11/2014,11
"digital natives je mytus, vetsina mladych lidi umi s pocitaci houby #dataconf14",3,0,edison23net,22/11/2014,11
Chci aby me na stredni skole ucil @jakubmracek ! #dataconf14,8,0,vojtano_k,22/11/2014,11
"Úplně mě žere, že tam nejsem #DataConf14 doufám, že budou videa.",3,0,M_LETAL,22/11/2014,11
"RT @JustXsi: “Geniální taktikou moderní cenzury je, že vám neupírá přístup k informacím, naopak – zahltí vás.” @jakubmracek na #DataConf14",0,24,xmireknovak,22/11/2014,11
"RT @JustXsi: “Geniální taktikou moderní cenzury je, že vám neupírá přístup k informacím, naopak – zahltí vás.” @jakubmracek na #DataConf14",0,24,CoffeeWithMILF,22/11/2014,11
@jakubmracek doporucuje na #DataConf14 nastroje pro datovou analytiku @OpenRefine a @GoogleFT.,2,0,Martix_cz,22/11/2014,11
"RT @zdrojak: Dnešek je plný akcí: #devfestcz v Praze, #DataConf14 v Brně a #barcampcz v Ostravě.",0,4,CoffeeWithMILF,22/11/2014,11
"RT @JustXsi: “Geniální taktikou moderní cenzury je, že vám neupírá přístup k informacím, naopak – zahltí vás.” @jakubmracek na #DataConf14",0,24,pdostal_cz,22/11/2014,11
"RT @endlife_cs: „Přemnožení dat je způsob, jak si zkazit dobré vztahy.“ @jakubmracek na #dataconf14",0,1,XimaraQuerida,22/11/2014,11
"RT @JustXsi: “Geniální taktikou moderní cenzury je, že vám neupírá přístup k informacím, naopak – zahltí vás.” @jakubmracek na #DataConf14",0,24,ridercz,22/11/2014,11
RT @dataconfcz: Vypadly nám pojistky u kafe! Paniká! :)) Omlouváme se #DataConf14,0,2,jirtob,22/11/2014,11
"nejvetsi problem #wikipedia je mnozstvi jaz. verzi, jejichz aktualizace je problematicka a pracna #dataconf14",2,0,edison23net,22/11/2014,11
"#DataConf14 pro me novika lekovaencyklopedie.cz, znas to, @Perlino ?",1,0,h_onza,22/11/2014,11
Užitočná aplikácia na mapy a časové osy: TimeMapper. Vďaka @jakubmracek! #DataConf14 http://t.co/jl0q2bvGMb,5,1,davidtvrdon,22/11/2014,11
"Neni problem aneb ""super pristupny data"" :) @jakubmracek #DataConf14 http://t.co/qf1udnDHS4",5,0,iVerNen,22/11/2014,11
"RT @gooddata_dev: GoodDay, GoodCafe and for sure some GoodData here in Brno at #dataconf14 ! #datalove @MichalBuzek #seznamcz http://t.co/k…",0,3,PetrSimecek,22/11/2014,11
"@jakubmracek na #DataConf14: ""Informacni gramotnost je datova analytika pro osmnacti lete deti."" Doufam ze to neslysi @etuto. :-)",2,0,Martix_cz,22/11/2014,11
#DataConf14 palec nahoru za politickefinance.cz,4,0,h_onza,22/11/2014,11
"Nebojte se data tridit, nebojte se je vyhazovat a nejlepe zbytecna data vubec neprodukujte @jakubmracek #DataConf14 http://t.co/oyk9udoZ7T",3,0,iVerNen,22/11/2014,11
"„Přemnožení dat je způsob, jak si zkazit dobré vztahy.“ @jakubmracek na #dataconf14",8,1,endlife_cs,22/11/2014,11
